barcode,name,price,promo
30,AMEIXA IMP.kg,15.97,
40,ABOBORA SC.EMB.kg,8.89,
63,PIMENTA ARDIDA kg,25.71,
65,BATATA kg,6.89,
144,QUEIJO MUSS.FAT.kg,45.9,
168,QUEIJO MUSS.PED.kg,43.9,
177,PESSEGO IMP.kg,19.99,
231,CEBOLA EMB.kg,15.0,
242,BATATA MONALISA EMB.kg,9.4,
243,MARACUJA AZEDO EMB.kg,17.0,
247,MEXERICA MORGOT EMB.kg,14.26,
249,MEXERICA RIO EMB.kg,13.0,
311,DAMASCO EMB.kg,24.0,
323,PEITO PERU SAD.DEF.C CASCA FAT.kg,49.9,
370,SAMANTINA kg,39.9,
377,MACA FUJI kg,15.99,
378,MACA GALA kg,12.79,
379,BOMBOCADO kg,37.9,
380,BREVIDADE kg,35.9,
382,BROA CAXAMBU kg,37.9,
383,ALCATRA C MAM.BIFE kg,39.99,
387,CAROLINA DOCE DE LEITE kg,44.9,
392,CAROLINA SIMPLES kg,40.9,
395,CHANTILLY kg,48.9,
396,COCADA FRANCESA kg,41.9,
398,PATINHO BIFE kg,43.99,
400,GRUSTOLI TRAD.kg,43.9,
401,PERA WILLIAMS kg,10.97,
402,PERA WILLIAMS EMB.kg,15.9,
405,MARIA MOLE kg,32.9,
407,COXAO MOLE BIFE kg,45.99,
410,COXAO DURO BIFE kg,31.99,
411,PAO MEL kg,51.9,
416,LAGARTO PED.kg,29.99,
419,PERA RED WILLIAMS EMB.kg,21.99,
421,MUSCULO TRAS.PIC.kg,25.99,
422,PERA PORT.kg,21.99,
424,PERA PORT.EMB.kg,30.59,
430,PUDIM kg,39.9,
432,CONTRA FILE BIFE kg,48.99,
434,QUINDIM kg,36.9,
435,QUEIJO QUATA T.ESTEPE FAT.kg,102.19,
436,ACEM PED.kg,35.99,
437,ROCAMBOLE COCO kg,47.9,
438,ROCAMBOLE GOIABA .kg,38.9,
439,PALETA PED.kg,35.99,
440,ROCAMBOLE DOCE DE LEITE kg,38.9,
444,MEXERICA MORGOT kg,9.99,
446,SONHO DOCE DE LEITE kg,37.9,
451,SUSPIRO kg,42.9,
452,BEIJINHO kg,48.9,
453,BRIGADEIRINHO TRAD.kg,48.9,
457,FIOS OVOS  kg,114.9,
462,BOLO ABACAXI C COCO kg,59.9,
463,AMEIXA VERM.NAC.kg,13.97,
467,LIMA DA PERSIA kg,8.99,
468,CEREJA EMB.kg,19.9,
469,JABUTICABA EMB.kg,24.99,
